country,year,co2,fdi,gov_effect,gdp,ln_co2,ln_fdi,ln_gdp,credit,energy,corruption,rule_of_law,trade,voice,stability,reg_quality,investment,rnd_spending,ln_rnd
Australia,1990,15.452882,2.721492,1.800565,18211.27459,2.737796,1.00118,9.809796,70.393615,5061.508459,1.877356,1.713399,32.220228,1.440203,1.396113,1.367597,29.002736,261.5776966825138,5.566731358618591
Australia,1991,15.127966,0.802946,1.800565,18821.477389,2.716545,-0.219468,9.842754,70.766047,4927.78159,1.877356,1.713399,32.255512,1.440203,1.396113,1.367597,24.269563,541.4535824823263,6.294257342512609
Australia,1992,15.317769,1.521154,1.800565,18569.812753,2.729013,0.419469,9.829293,74.745575,4959.214919,1.877356,1.713399,33.110264,1.440203,1.396113,1.367597,22.390162,432.67382465920423,6.069984152355542
Australia,1993,15.701452,1.705194,1.800565,17634.256352,2.753753,0.533679,9.777599,75.239602,5147.53665,1.877356,1.713399,35.466519,1.440203,1.396113,1.367597,23.646677,352.09371120075707,5.86389736516866
Australia,1994,15.576586,1.383713,1.800565,18046.020244,2.745769,0.32477,9.80068,77.563613,5089.788967,1.877356,1.713399,36.526128,1.440203,1.396113,1.367597,24.316113,160.61798981663912,5.079028811532201
Australia,1995,15.596519,3.613367,1.800565,20319.630628,2.747048,1.28464,9.919343,80.489606,5129.223661,1.877356,1.713399,37.801552,1.440203,1.396113,1.367597,26.047027,180.8419289705918,5.1976233290947516
Australia,1996,16.5018,1.140125,1.800565,21861.32551,2.803469,0.131138,9.992474,83.561322,5393.580635,1.877356,1.713399,38.332332,1.440203,1.396113,1.367597,24.85126,141.0512463601401,4.9491232737091435
Australia,1997,16.514273,1.861175,1.618118,23468.596831,2.804225,0.621208,10.063419,83.56405,5469.599989,1.79813,1.756803,38.074811,1.407491,1.066501,1.432211,24.916665,625.5414529005359,6.438617599334657
Australia,1998,16.935696,1.904645,1.73217,21318.964169,2.829424,0.644295,9.967352,88.025635,5553.653466,1.862088,1.722067,40.070431,1.471305,1.333965,1.575613,25.691,426.973555765037,6.056722081018211
Australia,1999,17.190298,0.568932,1.659199,20533.035062,2.844345,-0.563994,9.92979,91.333041,5610.344711,1.761436,1.767047,39.134648,1.407233,1.189415,1.421156,26.214361,466.1371519681731,6.144479908351006
Australia,2000,17.20061,3.586745,1.773279,21679.247842,2.844945,1.277245,9.984111,93.360724,5644.064951,1.895287,1.842772,41.029011,1.442128,0.878117,1.575263,26.308044,119.55264804852341,4.783756843793054
Australia,2001,16.733367,2.832402,1.984942,19490.86111,2.817405,1.041125,9.877701,92.271822,5446.973214,2.005869,1.795392,44.365208,1.501542,0.935464,1.71122,23.479788,570.0637609927517,6.345748215963369
Australia,2002,17.370452,3.713762,1.746181,20082.483267,2.854771,1.312045,9.907603,99.178254,5569.640992,1.942668,1.712802,41.557276,1.507056,0.891708,1.599513,24.493108,518.350301450294,6.250651271326382
Australia,2003,16.901959,1.926147,1.707899,23447.031001,2.82743,0.655522,10.062499,103.777841,5568.764941,1.950813,1.756739,40.296145,1.382795,0.934467,1.623762,26.01628,241.70319777495777,5.487710517969281
Australia,2004,17.026515,7.005444,1.818955,30430.676437,2.834772,1.946688,10.323206,108.113861,5598.088178,2.000873,1.743887,37.120734,1.3692,0.928875,1.684216,27.17194,290.47980081618533,5.671534041400066
Australia,2005,17.169711,7.005444,1.784768,33999.242858,2.843147,1.946688,10.434094,113.319562,5564.087169,2.027343,1.759084,39.271183,1.368076,0.9547,1.766018,27.558867,325.88657608398375,5.786549394703622
Australia,2006,17.651398,4.095024,1.701964,36044.922811,2.870815,1.409773,10.492521,118.268189,5709.344668,2.041763,1.733009,41.604227,1.383791,0.855121,1.816928,27.604448,454.384318138051,6.118943355671566
Australia,2007,17.86526,5.20925,1.763391,40960.054495,2.882858,1.650436,10.620353,146.407252,5868.347097,2.023611,1.757718,42.05144,1.419765,0.88886,1.695977,27.571409,742.1515733814549,6.60955349910013
Australia,2008,18.160876,4.28465,1.690138,49601.656708,2.89927,1.455039,10.81178,159.417787,5964.665776,2.037909,1.733154,42.870333,1.453721,0.93571,1.852123,28.664595,783.6379968254222,6.663947174973164
Australia,2009,18.200182,3.091518,1.613148,42772.359166,2.901432,1.128662,10.663647,150.791419,5862.551944,1.977507,1.75978,45.797904,1.49919,0.997997,1.778897,27.396054,525.2757304339004,6.263923325548417
Australia,2010,17.740845,3.072119,1.632453,52022.125596,2.87587,1.122367,10.859424,153.790597,5793.116026,1.777833,1.770101,40.649672,1.436368,1.031073,1.79122,26.851141,1055.8578313680946,6.962108825816583
Australia,2011,17.538878,4.693724,1.600895,62517.833747,2.86442,1.546226,11.043207,151.161183,5745.23219,1.849272,1.918631,41.906733,1.361674,1.032192,1.857373,26.507212,530.6105184592883,6.274028265214819
Australia,2012,17.072905,3.722172,1.533252,68012.147901,2.837493,1.314307,11.127442,149.891763,5575.287093,1.841308,1.790321,43.210347,1.355731,0.873181,1.77741,27.742558,836.795365621573,6.729579555080185
Australia,2013,16.095833,3.425824,1.532188,68150.107041,2.77856,1.231342,11.129468,155.287571,5468.391369,1.772252,1.716666,41.20843,1.354101,1.033424,1.885731,27.895792,964.9405061100788,6.872066447739042
Australia,2014,15.388766,4.306384,1.498386,62510.791171,2.733638,1.460099,11.043094,164.42713,5334.681679,1.752975,1.645958,42.50649,1.378637,0.876064,1.923002,26.745635,1025.2863444238099,6.932727212972127
Australia,2015,15.388766,3.469188,1.55599,56755.721712,2.733638,1.243921,10.946512,175.630802,5483.816402,1.767455,1.674666,41.494373,1.393786,0.971185,1.896577,26.270697,1397.8593175543483,7.242697286510029
Australia,2016,15.388766,3.555513,1.538691,49971.131456,2.733638,1.268499,10.819201,182.650239,5483.816402,1.788074,1.694617,40.777641,1.270365,0.917979,1.864646,25.371979,499.30377769380254,6.2132146834579185
Brazil,1990,1.401896,0.214092,-0.143134,3100.280468,0.337825,-1.541351,8.039248,87.627227,940.965868,-0.01858,-0.223502,15.161756,0.242077,-0.22046,0.296933,20.166607,55.35817697466671,4.013824380396293
Brazil,1991,1.446314,0.182961,-0.143134,3975.390089,0.369018,-1.698481,8.287878,87.939778,942.038013,-0.01858,-0.223502,16.590917,0.242077,-0.22046,0.296933,19.769101,78.75392558583428,4.366328125172344
Brazil,1992,1.430744,0.514479,-0.143134,2596.919876,0.358195,-0.6646,7.862081,129.75266,935.746475,-0.01858,-0.223502,19.253344,0.242077,-0.22046,0.296933,18.934602,16.00029938102413,2.772607433378735
Brazil,1993,1.471087,0.295113,-0.143134,2791.209124,0.386002,-1.220397,7.93423,180.043954,943.327043,-0.01858,-0.223502,19.599316,0.242077,-0.22046,0.296933,20.846359,56.350663966663085,4.031594023320769
Brazil,1994,1.518848,0.550427,-0.143134,3500.61149,0.417952,-0.597061,8.160693,84.570101,976.982184,-0.01858,-0.223502,19.332905,0.242077,-0.22046,0.296933,22.993489,32.42652511754785,3.478976764333019
Brazil,1995,1.594542,0.631609,-0.143134,4748.215529,0.466586,-0.459485,8.465524,56.094064,994.289806,-0.01858,-0.223502,16.98446,0.242077,-0.22046,0.296933,17.292346,31.463052244972292,3.448813912789625
Brazil,1996,1.729997,1.475965,-0.143134,5166.163745,0.54812,0.389312,8.549886,56.40996,1030.668035,-0.01858,-0.223502,15.635591,0.242077,-0.22046,0.296933,17.266946,148.38327024282543,4.999798590165534
Brazil,1997,1.797435,2.224865,-0.201571,5282.008828,0.58636,0.799696,8.572062,58.635279,1066.18699,0.041475,-0.202992,16.576209,0.332853,-0.339506,0.327298,17.763986,153.92196722248525,5.036445767647087
Brazil,1998,1.839318,3.694817,0.043085,5087.152221,0.609395,1.306931,8.534473,65.247877,1075.1991,0.013239,-0.244872,16.438585,0.301594,0.184102,0.258442,18.164752,128.24677022802913,4.853956300326591
Brazil,1999,1.858029,4.735492,-0.034615,3478.37273,0.619516,1.555086,8.15432,69.403668,1083.403978,0.081942,-0.266611,20.982166,0.472238,0.3278,0.182567,17.38956,43.88086934687918,3.7814784471268923
Brazil,2000,1.876441,5.034129,0.081757,3749.75325,0.629377,1.61624,8.229445,70.681245,1072.379538,0.090239,-0.367894,22.639761,0.442829,0.004214,0.196701,18.903119,27.904924423245212,3.3288031758778405
Brazil,2001,1.904296,4.152127,-0.092271,3156.798718,0.644112,1.423621,8.057314,72.865149,1076.275474,-0.027269,-0.40092,26.936285,0.388609,-0.275993,0.037414,18.74186,69.78364211267092,4.245399628616547
Brazil,2002,1.850682,3.26532,-0.15767,2829.283192,0.615554,1.183358,7.947779,75.181667,1090.349867,-0.153748,-0.475531,27.618357,0.45768,-0.26338,0.036901,17.449079,45.27931727135847,3.812850355851892
Brazil,2003,1.769006,1.813121,-0.391295,3070.910491,0.570418,0.595049,8.029729,74.262185,1094.42467,-0.12048,-0.40262,28.140385,0.500076,-0.294911,-0.041273,16.856688,24.723764847198826,3.207764920637042
Brazil,2004,1.835946,2.716381,-0.29029,3637.462389,0.60756,0.999301,8.199042,72.908775,1141.491098,-0.083989,-0.409779,29.678252,0.537074,-0.357948,-0.022835,17.912568,63.21699660577446,4.146573198632315
Brazil,2005,1.865977,1.733901,-0.148201,4790.437088,0.623785,0.550374,8.474377,76.235192,1156.907568,0.003437,-0.288045,27.086795,0.568986,-0.313425,0.077027,17.204883,28.07058661379533,3.3347222884024985
Brazil,2006,1.847655,1.749493,-0.151304,5886.463588,0.613917,0.559326,8.680411,82.91009,1184.145102,-0.079986,-0.103855,26.0417,0.521999,0.163664,0.127607,17.816474,163.24935385655672,5.095278810149055
Brazil,2007,1.910334,3.190895,-0.086863,7348.030794,0.647278,1.160301,8.902188,87.315331,1238.411641,0.043806,0.056414,25.292611,0.571349,0.013476,0.24662,19.819326,84.27823581169194,4.434123656250028
Brazil,2008,2.018593,2.990663,-0.152404,8831.023117,0.702401,1.095495,9.086026,85.908779,1294.480833,0.168382,0.045142,27.257569,0.513676,-0.132575,0.258022,21.619383,190.42385580144156,5.249252407583541
Brazil,2009,1.89362,1.888456,-0.160549,8597.915352,0.63849,0.635759,9.059275,90.474952,1240.177285,-0.046854,-0.076933,22.105976,0.477906,0.045962,0.173244,18.796135,109.99121292243966,4.700400480078361
Brazil,2010,2.144736,3.729956,-0.119031,11286.243016,0.763017,1.316396,9.33134,93.388703,1358.502416,-0.09796,-0.092045,22.772178,0.417397,-0.258553,0.14629,21.801322,203.17156687657516,5.314050779125152
Brazil,2011,2.224712,3.915113,-0.175921,13245.6125,0.799627,1.364844,9.491422,95.155469,1367.188098,-0.366117,-0.052966,23.934411,0.47193,-0.07029,-0.02822,21.826276,247.2658752486959,5.510464175716429
Brazil,2012,2.358548,3.755022,-0.255272,12370.024201,0.858046,1.323094,9.423031,101.064049,1413.733357,-0.457841,-0.187333,25.114294,0.458871,-0.331864,-0.18191,21.417225,119.0164732178362,4.77926191393291
Brazil,2013,2.505409,3.041525,-0.249387,12300.322575,0.918452,1.112359,9.417381,100.045957,1461.076781,-0.446096,-0.201302,25.785981,0.451976,-0.381035,-0.189952,21.693771,359.6567050066343,5.885149979283291
Brazil,2014,2.612934,3.571425,-0.317141,12112.590302,0.960474,1.272965,9.402001,103.440519,1495.541207,-0.559815,-0.305429,24.685402,0.449532,-0.479948,-0.130979,20.548407,295.2846094851429,5.687939669156465
Brazil,2015,2.612934,3.592145,-0.52057,8814.000987,0.960474,1.278749,9.084097,107.063169,1495.541207,-0.480954,-0.302343,26.953643,0.376852,-0.459599,-0.293125,17.411643,251.0886198908054,5.525805944112239
Brazil,2016,2.612934,4.136037,-0.234115,8712.887044,0.960474,1.419738,9.072558,111.185415,1495.541207,-0.407893,-0.22432,24.542009,0.301445,-0.714225,-0.121404,14.974618,238.4776759239477,5.474275703951429
Canada,1990,15.715541,1.414597,1.742364,21448.36196,2.75465,0.346844,9.973404,81.543499,7630.092306,2.031408,1.647255,50.175109,1.566336,1.234052,1.488291,21.381189,427.841188835412,6.058752072601313
Canada,1991,15.221805,0.575792,1.742364,21768.343294,2.722729,-0.552009,9.988212,86.393909,7517.330304,2.031408,1.647255,49.400861,1.566336,1.234052,1.488291,19.411,610.533587016921,6.4143333076261895
Canada,1992,15.543148,1.184738,1.742364,20879.84833,2.74362,0.169521,9.94654,89.708793,7601.685177,2.031408,1.647255,52.916054,1.566336,1.234052,1.488291,18.439455,150.59199217965732,5.014574141174231
Canada,1993,15.533711,0.723956,1.742364,20121.161253,2.743013,-0.323025,9.909527,90.542138,7770.546448,2.031408,1.647255,58.440817,1.566336,1.234052,1.488291,18.535256,199.19087570400333,5.294263539402652
Canada,1994,15.753072,1.650299,1.742364,19935.381458,2.757035,0.500957,9.900251,90.452776,7957.245633,2.031408,1.647255,64.592588,1.566336,1.234052,1.488291,19.577027,122.21748870856874,4.805802151952191
Canada,1995,15.959077,2.261073,1.742364,20613.787883,2.770028,0.815839,9.933715,89.055615,7979.898446,2.031408,1.647255,69.282353,1.566336,1.234052,1.488291,19.44225,270.72620017150405,5.601107978680363
Canada,1996,16.191029,1.402868,1.742364,21227.347532,2.784457,0.338519,9.963046,93.413129,8053.454858,2.031408,1.647255,70.490524,1.566336,1.234052,1.488291,18.989805,312.4014353108618,5.744289012419963
