country,year,IRA,GTI,FDI,PGDP,HC,IS,UR,GRD,GRDP,ER
USA,1993,9811.279572652682,8.133912300500374,5.074671801273091,24517.814275202218,4.922026755624479,33.26887107440239,84.79589520074035,0.6366067345982673,6.360855371514451,-2.0075355122268803
USA,1994,31055.10048542713,10.45866118479358,3.595639998598396,44577.958862601954,4.747380788228806,36.58764006733035,74.91822039302744,-1.615028068674944,6.35143329301578,-2.5662179468296893
USA,1995,16160.281289024544,5.191083631898072,1.5778047730640568,13600.715013194014,5.206735818765949,26.828882559087013,42.80613868309863,-1.2648914154869513,6.332498235660954,-2.717752006101452
USA,1996,7914.0740759992605,6.21908529737371,2.930124035267092,28324.33010442805,5.153193653231956,32.49368608437725,81.1349951085808,-0.9258441692122756,6.355207795272387,-1.4716151590923876
USA,1997,583.2919995647644,6.831727561758777,4.91648617546595,19581.93931461744,5.004599945125881,43.54743902949741,65.04306753414795,0.1107677892886025,6.3620239791292965,-1.8473216876604288
USA,1998,8403.941133275626,9.118452886049903,4.149765222033102,17879.14890011277,7.2313800504637795,45.26613608369804,59.4807386616918,-1.051406773086668,6.339699551102331,-2.2670585179390894
USA,1999,27021.15863866816,7.703919729611063,4.951201215158107,21587.214259679466,2.74269658929917,44.9426203558599,50.296876352639686,-1.181930051446716,6.340377931528416,-3.165160793821248
USA,2000,38823.13246784678,8.150045733820445,5.681497298976144,42492.82165186325,6.127247376388881,34.48785646714382,55.26853832571504,-1.4738239082209217,6.370994341848305,-2.0299817229584587
USA,2001,37247.65498518298,7.450029066378381,4.148994677570544,41707.11500006951,5.555290331020206,49.71358338393471,48.50728835488015,-1.7180414092555083,6.354178754118554,-2.4258508062404958
USA,2002,29625.39218606097,6.45372512039159,4.333214609340871,52493.60293963173,5.956555929349421,41.08354486288037,64.08889524412194,-2.037603278153825,6.354557662353123,-2.960700909278164
USA,2003,13579.377875126433,9.755508960330673,3.377771950823336,34735.97275146183,7.108898877822833,42.88158995137143,43.31329753517544,-1.087828784821283,6.367702674202955,-3.099037403383556
USA,2004,15857.781638990866,7.755431228552647,3.822692328075904,34981.54414998818,7.666109957676864,37.06645730710365,70.05108629366347,-0.4565405167283796,6.355964182729128,-2.455128660379529
USA,2005,5034.749815344987,6.868442406105485,2.6714145806182854,26195.309858024597,5.694567447774096,35.80936301312188,43.09574057349735,-0.1132574287006817,6.35902094052346,-2.6279118377057165
USA,2006,7643.100757198508,8.339352506021486,4.872823712696702,33048.297891719456,6.433726561010675,37.549889319268026,65.36244331446754,0.2544243639447865,6.35028724612858,-2.145130256974702
USA,2007,23801.818995227903,8.90288925164295,2.742994186943584,11809.360054865549,3.664061488719403,34.73019100839774,57.95503411339254,-1.663875847617852,6.3569771771323325,-2.5815321574925285
USA,2008,20299.311820502862,8.272005304547896,4.002690576676596,36282.57474335106,6.638125626514874,31.9428608796834,79.20876097273872,-1.541161557006648,6.351625072765952,-2.3879056087083947
USA,2009,4259.696687206188,8.023097660641199,2.896041305936221,26055.558526401463,5.476840852580235,47.383250168009546,58.309444995566,-1.5458211009280605,6.343594298975351,-2.420534091831125
USA,2010,21396.484288915766,10.19120443664098,5.559398429520991,32641.878463793877,5.676874139197855,20.182924843716524,53.56851483528769,-1.5154461192219515,6.347213245346574,-2.144484781605972
USA,2011,22652.456784968315,8.516211283376377,4.146703349117198,29655.565860711995,5.96776981981313,10.313234416621494,50.41276842058171,-1.2498540067273824,6.343756418117988,-2.58874022503068
USA,2012,30544.223614084447,8.05525152875737,6.036890526258029,40891.14411629432,6.440599965374606,42.02037956093163,64.79525194566068,-1.1649395017149935,6.35337044874541,-1.9895994937574857
USA,2013,28687.696080581944,9.358948780508104,3.96122892176266,19618.001682209942,4.778088983460711,52.3124282364137,71.87042283248661,-0.5040968577360772,6.345577577165326,-2.233199522900172
USA,2014,1159.54156204627,7.402869439158543,3.189093076909486,21286.511446377262,6.0094227434015774,20.848818829567257,36.96220956746563,-2.4802719152995563,6.330573919850307,-2.7406747896190664
USA,2015,-4012.0361488605777,8.773542618046722,3.371624691004598,27048.327705841933,5.521777048691495,31.308667027201118,66.26815533336713,-1.2863481747861572,6.3521595862744,-2.5339794183561404
USA,2016,24357.687658357347,8.911579433474841,4.295739533677872,23032.729326440643,6.273730570350224,36.46829570706542,67.31217464155644,-2.35549732279165,6.336322616155843,-2.2577918495367184
USA,2017,47938.48562356192,10.113295492439027,4.024155655437096,20804.904383070345,7.18048164039725,42.25378835124079,72.65568363560507,-0.4482046297594446,6.3552287150576925,-0.7770404273055371
USA,2018,19902.622431299813,8.30222814964808,3.765269728097602,24091.878143107955,6.731058425831551,34.897307742638944,65.43780324752325,-0.7425331847815213,6.360624518709078,-2.090097843554153
USA,2019,1793.800132768789,6.531442273740348,4.5660997916749535,20333.45931443973,3.075781329304593,25.67820627001837,63.677663007688174,-2.434676451406648,6.334755344513025,-3.0248714632851827
HUN,1993,3872.245153849506,-2.043512276297648,-4.378651749325152,21906.6576524722,3.9246511176592014,29.078258462526925,82.19010391829015,7.664206572923764,-6.624823736827878,3.7122998162194856
HUN,1994,31469.566740587903,-3.095182883273244,-5.655335160647358,34892.55622246673,6.561398762610229,38.3559114785153,54.5294469939788,8.056668805380216,-6.620985507174544,3.418557582380543
HUN,1995,37632.40562815174,-1.2198125407339155,-5.520857251511348,39110.59210116378,9.211918002552723,31.309411357333712,67.04783063922251,7.435866372625389,-6.620573835018846,3.9360731539056335
HUN,1996,7728.719556951421,-4.257209187980287,-5.980994942759297,11347.526232343338,6.223476101080764,15.3670505846241,26.609991791345852,6.458230914327442,-6.636915524958463,3.087040139413601
HUN,1997,17813.290903319477,-0.3347858594084516,-5.20422406828176,32203.77824448431,6.989255788297173,26.625418172682785,67.00765066265267,8.039170424050559,-6.610799530985836,2.8997827862690477
HUN,1998,12338.600943540823,-3.117936186229937,-4.47171088800004,25861.336557722632,3.956437894400441,23.64511035068835,55.83792912744738,7.300256434958519,-6.63801772464679,3.9246600408955024
HUN,1999,15135.84729385244,-2.753774720505965,-6.064529267207236,18557.04475468104,4.430323108820622,17.285641486367183,39.69121234346648,8.345138835310252,-6.647312473807431,2.5562083880673168
HUN,2000,13972.527623777412,-1.7951822084143707,-5.446747356684582,35718.94325344931,5.4725466871375446,26.43603785970351,83.9701752233782,6.868157469251722,-6.621504398748754,3.5073626567043625
HUN,2001,-13779.280739185417,-3.906399798823962,-4.84573126476392,25146.68224069238,4.205146096426399,25.37186327946386,45.4124214759632,7.152926149886768,-6.628876389301465,2.5773024353019047
HUN,2002,31841.164571647118,-3.290621169578965,-6.287402906894005,19827.706182665064,5.749301272873578,23.74629707373681,45.92088364315055,7.636627030272256,-6.626988858444771,2.906779098972596
HUN,2003,33328.63781455547,-0.7724928959636452,-4.659842870404002,33088.836813848626,5.04134499352722,25.516889200126315,61.051799742288495,7.787607521990071,-6.624809441736567,3.593173690598148
HUN,2004,43005.0983901906,-2.4759711868931555,-5.202684016707663,20642.90396099755,6.818252401285364,35.98531515339332,41.07169013586978,7.003351894269788,-6.625576291179308,3.73768614021206
HUN,2005,25736.79763603561,-1.9112363902386589,-5.112236402032284,35865.78320182892,8.420469984904589,14.758735069413763,73.78444474656054,7.579182800673164,-6.627846381615963,2.413112160682456
HUN,2006,-711.5258041818524,-0.9747491222460196,-5.769939404376505,18506.270202541004,5.634649531390631,16.218255739364267,56.602114540930245,8.182823737838797,-6.63364449078778,3.279305478573499
HUN,2007,2785.1869320291044,-1.094466429125597,-4.924593443618647,20368.21747859025,7.748129791002272,37.07640756951576,65.4822769552981,6.410024138559399,-6.609924925089266,3.585883344583462
HUN,2008,37550.558511054434,-2.630895494494758,-5.230676239850196,32609.606479300302,8.493619034171093,30.99338825547036,49.96450772504771,7.818509566557693,-6.608801348361857,3.597611594160204
HUN,2009,21934.526907279876,-3.820325867692976,-6.631902156756256,19350.76084146428,5.421877002579006,21.363640233423627,54.87508441324014,8.124223039088207,-6.6293981437343525,3.631035524792618
HUN,2010,19403.804030958905,-0.7771961079851994,-6.519463337382291,24355.346578316443,7.896164024042009,25.21826306624575,74.07028781456096,7.806788318256809,-6.615916770692215,3.7537486073577497
HUN,2011,30098.47805783889,-0.470669036181647,-3.644260074095377,46081.77261557373,8.021116613078878,29.876866017840506,64.75589034493223,8.57399216277634,-6.638889857776703,3.11897462757716
HUN,2012,5544.938762450785,-3.0518669077683853,-7.876504309015278,33459.304115757506,6.60558084883165,38.82177363392456,70.82688803895131,8.005631110270956,-6.607129657151932,3.1552009875286107
HUN,2013,-2558.1319381082794,-3.2288675113924263,-6.358478678461228,21198.292189524203,4.283087350575654,23.53539347495775,57.28128591500664,6.885934720874843,-6.629709279789566,2.987960887433456
HUN,2014,31274.24907464185,-2.0711849228419315,-5.095983303953884,40420.42402163604,8.92096370414489,43.34934282772707,57.976518953274194,7.516321643103736,-6.635432642603393,3.463794448339434
HUN,2015,26235.60126779702,-2.423853214979796,-3.2027392347103296,30613.896843191727,5.815315076274738,34.053522591623384,68.229272094901,8.105498784738389,-6.619117555254883,3.689028885031355
HUN,2016,-11840.73919500624,-4.016866653110698,-6.435010402794383,17832.46238814504,4.695881606284652,20.22503100742513,55.30870086505448,5.947114622064421,-6.629372664830699,3.172526539217111
HUN,2017,26980.29504120588,-3.8770616315099744,-4.853999378749697,29793.471399603048,7.897310250749259,42.84295463325047,86.20004250520601,7.846617984573019,-6.6215570302163655,3.8585526761502127
HUN,2018,3268.1447493410305,-4.483687296923128,-6.183003606477225,33764.952881518904,5.437698489750192,33.97812364495728,18.097566874863865,5.785067359714973,-6.634877454728369,3.3530145996531626
HUN,2019,18949.39756983125,-2.556197291331885,-5.24548313905115,13293.529085731643,7.813986921536157,18.75044599885792,72.48500275947022,7.301450632608942,-6.617539429329471,3.506025992299042
POL,1993,21411.759910380388,4.397904938850474,-3.6529662458265344,34057.17807226957,19.13498638161181,49.16836219397042,68.23497214399418,3.984577414203639,1.2813385350866549,6.4705910316564506
POL,1994,8620.040277146843,2.9844800114137358,-4.45247295664007,28239.15558775649,15.561795419947806,38.593479127246745,62.33357579898869,2.311765089794274,1.2605524470725231,6.465241855711004
POL,1995,58397.22008703427,5.592808227277657,-3.8733062223343806,52809.12000280154,18.879164325553678,49.677920549756585,73.16315279930802,3.576621495128125,1.2770862049682927,6.024928425303244
POL,1996,37109.310271759154,4.139710054209038,-4.450010030613772,28754.424917862023,18.90831589886066,42.2787800928737,96.15963545588762,3.384037498746431,1.2678376575542338,6.338196041267024
POL,1997,24198.62019640105,6.558982042560566,-3.8862922762710577,24909.458349716275,18.358646041761947,37.20891273996829,64.6829287317394,4.743469784729745,1.2589935754961954,6.115539910799948
POL,1998,20485.575443605267,5.7260994294088325,-4.107046281816478,31055.129267710174,17.14087466582961,28.7147010807861,56.9017145958486,3.312226178303756,1.258592073570579,6.947222659428994
POL,1999,9867.425120750731,4.049495705427808,-7.03767028166493,29226.057779403767,14.142205721058067,21.133676561615623,66.48093393592609,1.6617443439937756,1.251643591629574,5.9843567898349
