Country,Year,SocialContribRate,GDP_perCapita_PPP,RelWealth,Core_EU,All_EU,Post_Socialist,LATAM,Colonizer,Post1945_Colony
Albania,1990,11.331092982987625,41353.20518144558,302.0603966445358,0,0,0,0,0,0
Albania,1991,21.468765394448692,42416.887020188384,300.2267192236809,0,0,0,0,0,0
Albania,1992,20.944866621487225,37924.24087852813,263.0900193964693,0,0,0,0,0,0
Albania,1993,19.520450143117483,50733.20156870382,336.3521862360769,0,0,0,0,0,0
Albania,1994,17.22353096683714,40317.55646179081,265.23124771403087,0,0,0,0,0,0
Albania,1995,19.756494142354267,43844.620767339984,283.438856668426,0,0,0,0,0,0
Albania,1996,20.078016322480185,44953.611737323015,286.94978283598863,0,0,0,0,0,0
Albania,1997,19.117050146193034,44909.713539426004,280.85157490607816,0,0,0,0,0,0
Albania,1998,15.118336571333597,51204.61711753684,312.14214190574296,0,0,0,0,0,0
Albania,1999,18.76134072754611,47952.92630790345,289.43877661886546,0,0,0,0,0,0
Albania,2000,17.561491436597603,53059.57396627905,313.16119719858597,0,0,0,0,0,0
Albania,2001,21.563244880566483,52702.003870295026,303.84120473914317,0,0,0,0,0,0
Albania,2002,22.22164646417275,41861.575518212536,240.3499218605258,0,0,0,0,0,0
Albania,2003,15.221047278608017,46563.19713763545,254.2099923509263,0,0,0,0,0,0
Albania,2004,16.432150530044837,39307.01330203624,217.2917024142771,0,0,0,0,0,0
Albania,2005,17.0767936165208,53456.21744577666,282.8313207695523,0,0,0,0,0,0
Albania,2006,14.940805455440307,52096.405903577965,272.0188163053253,0,0,0,0,0,0
Albania,2007,20.847587755232908,60707.76400560961,315.4395860828553,0,0,0,0,0,0
Albania,2008,12.362584304640269,59214.14801157906,300.7785148103125,0,0,0,0,0,0
Albania,2009,18.05204706615645,72724.8515861856,351.1789039072744,0,0,0,0,0,0
Albania,2010,13.422983393955775,62384.0458985357,299.95824710437796,0,0,0,0,0,0
Albania,2011,19.228143098753183,60232.03195482628,282.99354667936,0,0,0,0,0,0
Albania,2012,20.590457435342138,60658.44045851724,285.3004378361978,0,0,0,0,0,0
Algeria,1990,26.688659894774414,4508.471260114774,32.93168234760645,0,0,0,0,0,1
Algeria,1991,24.990874903189802,3865.9322870387587,27.36306808008169,0,0,0,0,0,1
Algeria,1992,22.715111869026778,5408.158189090796,37.517756714614904,0,0,0,0,0,1
Algeria,1993,23.899572652125244,4171.836942604553,27.658543771680254,0,0,0,0,0,1
Algeria,1994,22.117361182593292,4527.692172849931,29.785670304898687,0,0,0,0,0,1
Algeria,1995,17.29154521895666,4618.766697738688,29.858576242959245,0,0,0,0,0,1
Algeria,1996,23.290069552813524,4586.671790649346,29.277836049245582,0,0,0,0,0,1
Algeria,1997,21.78317922300465,4427.207777996458,27.686399642589127,0,0,0,0,0,1
Algeria,1998,20.806771257122087,4343.05252223217,26.47514605151492,0,0,0,0,0,1
Algeria,1999,22.745018466934223,3734.8511303551095,22.543165250905677,0,0,0,0,0,1
Algeria,2000,21.81996084270454,5360.985196765831,31.640897521153217,0,0,0,0,0,1
Algeria,2001,19.63783475252342,5222.7602188343035,30.11061516483856,0,0,0,0,0,1
