year,q_USA_JPN_WDI,q_USA_JPN_PWT,q_USA_DEU_WDI,q_USA_DEU_PWT,q_USA_IND_WDI,q_USA_IND_PWT,q_USA_KOR_WDI,q_USA_KOR_PWT,Q_USA_WDI,Q_USA_PWT
1980,0.9352810469193533,0.973432842414774,1.0306555842871692,1.0672757875744716,1.3013303444476634,1.3782771595935697,0.829765043875912,0.8789712015818443,1.0100656372842358,1.0591890059718374
1981,0.904431715595916,0.9687539509067021,1.0258157468265772,1.0815004511805515,1.2989065808119387,1.3670213359717842,0.8343463549491832,0.8842987142362797,1.0013648869324525,1.0608491177507402
1982,0.9124319025392577,0.9553734639567069,0.9959560913710812,1.0474206308933607,1.2730278438406666,1.3458878242705081,0.8164327342803359,0.8788867304871597,0.98582480472278,1.043059342891715
1983,0.9341035782697436,0.9888333211411947,0.9968489646777577,1.0530417272805666,1.271316605251686,1.3380697120437006,0.7856872175694674,0.8383368579423047,0.9820462718424391,1.0396005331062383
1984,0.923065445517285,0.9786912374708867,0.9679585707616833,1.040187947048407,1.2579793624730524,1.329446636715732,0.7642992332840749,0.7988223765688542,0.9627345347905109,1.0196935263783822
1985,0.8625972995453289,0.904177063591687,0.9425269277783785,0.9990980690372017,1.2570946510549035,1.3134391276746473,0.8032318916814799,0.8409996944897946,0.9518701234058218,0.9994632926472821
1986,0.8975731969219404,0.9485926504714982,0.9716131855849055,1.0110656226097092,1.240879931501968,1.292581499659222,0.770507889631965,0.8200298800724345,0.9555810561764649,1.0041224525717258
1987,0.871972855834046,0.9247935653414137,0.9781269793820796,1.0382034912321423,1.2154743479533665,1.283064010533851,0.7994489014076486,0.845973983785257,0.9541324751605107,1.0103763073558456
1988,0.8693641943927003,0.9165966594238917,0.9960343850431258,1.0326770301901669,1.246405665702218,1.3006918523455904,0.7755940709901087,0.82077508980059,0.9565165613951722,1.0026176452734044
1989,0.8760691128959104,0.908878560634864,0.9919047398328311,1.0368841307763257,1.2276786669901205,1.2821671025621246,0.7873899235868171,0.8105898593230497,0.9573499614228987,0.9948222056910776
1990,0.8671665857089319,0.913507296736439,0.9565391779375553,1.0036837207811866,1.1959674616321077,1.2512105096785395,0.7714130422292024,0.8097404330966732,0.9353042541433159,0.9817395281905972
1991,0.8897997558535452,0.9475536026130928,0.954668230702779,1.0195350694544114,1.2306842165390868,1.2923932189562917,0.7748457490781246,0.806207727439974,0.9486951046064961,1.001640544958407
1992,0.872363611645797,0.9090361136307732,0.9361717978415153,0.9755328395131067,1.1961397469980493,1.252406795235417,0.7573528575572736,0.7980197464255696,0.92743465837434,0.9702765178745812
1993,0.8560049289012851,0.8973088299430727,0.925171069827849,0.9631652379326514,1.2081817650587798,1.2548413403775387,0.7892888384495452,0.827771776475593,0.932216180727185,0.9733870038886794
1994,0.8588772646549085,0.8974695923704377,0.9158745961874997,0.9606838007526204,1.2145818112435507,1.2688747177773994,0.7525382418540724,0.799266943027702,0.9208324531055687,0.9670027329923069
1995,0.8566734865474853,0.917999798159653,0.9890155079046358,1.0318315004362466,1.2025796582151482,1.2404746096036614,0.758039787268894,0.7991139587842517,0.9374671759667295,0.9843782085863118
1996,0.9173815814631521,0.9699736081064341,0.9606402896983003,1.0199386634042804,1.2144546803575327,1.2814297288856813,0.8168296806077917,0.8655344442592712,0.9669542112081814,1.0234774559112954
1997,0.920896834724684,0.9710162948233293,0.9829051806344429,1.0212511245825309,1.1586368169262602,1.2005480812165057,0.7813781521104844,0.8157828687486492,0.951443050262799,0.992723496444125
1998,0.968761354033018,1.0095002609902157,0.9874440927990015,1.0253416109148406,1.183046832823551,1.231155341070444,0.8120903000302854,0.8432503524726171,0.9791154317238824,1.0181484413169621
1999,0.9829180852139655,1.0374564813875822,1.0488831404499714,1.0969490970250257,1.1529704648478605,1.2111406388828634,0.8860546008298269,0.9262568339392928,1.0130497518028645,1.0629689808876763
2000,0.9864402036833185,1.0290188872609107,1.0218887097155076,1.06800282069436,1.1409173903496959,1.1905676299032677,0.8723708652310501,0.9158192043539882,1.0008233505461324,1.0462606473124185
2001,1.0880723719088072,1.1427942960869912,1.0707451943957207,1.1435777746536766,1.1384230067047116,1.2107743029940146,0.9638724237129859,1.0158575622541859,1.063326858991049,1.1259845872833794
2002,1.1297887239771902,1.179919699392261,1.0779240021094596,1.1413144102841903,1.1354356160241192,1.1792788277280908,0.9458942870514717,1.0157820909109538,1.0694183293253616,1.1269864680993866
2003,1.1351566995918712,1.19867886752093,1.124404716623852,1.1815004648688967,1.1344566401779281,1.1938499808803162,0.9683842371045183,1.0163808774431378,1.0881869719161859,1.1449479583154072
2004,1.2328950924797522,1.3003057552698891,1.1272838972486225,1.171393736922752,1.101697003184333,1.1563890251612747,1.050958840529608,1.0939473325511606,1.1262941432153497,1.1781814735677008
2005,1.1959126865080247,1.2536253332776461,1.134720689650885,1.1999003538974449,1.1346831964057504,1.1797364212486259,1.0712769624953553,1.1213809928631293,1.1332903973476813,1.187716472565529
2006,1.263415170346029,1.330545995989947,1.1786030220998935,1.2275310197309925,1.1176465821279427,1.1787616778396575,1.1081845125418648,1.1589577784224971,1.1653531437740605,1.2221907646838204
2007,1.2962563229994835,1.3501385240621526,1.2085666374106083,1.2535472583133627,1.0692751262744555,1.1210234192759558,1.1181208931655078,1.178841752561518,1.1698627941292572,1.2229179198445925
