year,Q_USA,Q_CHN,NX_USA,NX_CHN,REER_USA_FRB,REER_CHN_IMF
1980,0.985590958,0.813759051,-0.46950054,-1.36536408,91.2265514,78.1311349
1981,0.919894272,1.0916244,0.405745503,-1.50679684,98.5683725,75.2674086
1982,1.017623643,1.095285955,0.319291306,-0.14113713,95.2138732,84.70873848
1983,1.586088987,0.982656912,-1.070588684,0.888918309,107.4939602,81.68276514
1984,0.996015657,1.272089282,-2.631578918,1.95603886,113.4164701,74.78304794
1985,0.900123683,0.91370445,-2.75104475,2.109397889,94.1853537,82.65933771
1986,0.929349441,0.99978642,-2.999299531,1.85415078,103.9183301,85.11327952
1987,0.916015241,0.980825273,-2.087981699,2.03034019,112.909786,80.62795987
1988,0.843279289,1.165057007,-2.180137631,2.37806893,109.5269825,77.79777979
1989,1.002724146,1.198189385,-1.620817183,1.71847076,107.212762,87.90114677
1990,0.975063279,0.984742887,1.353088377,1.48330497,109.2136055,86.66064728
1991,0.882586698,1.029870414,0.46242618,1.57608795,103.0317586,76.7717049
1992,0.807858584,0.926415653,0.52968121,1.76173783,103.449949,82.82876868
1993,0.748979045,0.876140171,0.985721593,2.07333946,105.1499734,75.6454038
1994,0.8900516,1.002360094,1.33380794,1.81817437,95.5573574,82.37095239
1995,0.908746736,1.014249265,-1.24484157,2.1104187,109.7980341,76.58979337
1996,0.848724289,1.121534737,0.23932362,2.05014801,107.1923191,82.30825802
1997,0.809366252,1.111987479,-1.23138142,2.49513245,112.2236728,83.86715632
1998,0.928353546,1.007244944,-1.84022236,3.29994393,107.6038236,78.19700302
1999,0.92552487,0.999450863,-1.82654381,2.82854462,113.1871362,85.19043389
2000,0.915123334,0.879319632,-1.8864088,2.40917587,115.2963966,83.59831686
2001,0.946713116,0.891312625,-1.24235401,2.11987686,103.7758202,84.15638465
2002,0.969819064,0.872876451,-1.67387447,2.57132721,108.3173635,85.39597293
2003,0.937517921,1.163591553,-1.578290942,2.19865226,111.4336723,75.36875776
2004,1.1463896,1.988060256,-2.29107762,2.55138779,103.2053096,85.05990512
2005,0.972661859,1.948215401,-2.77322483,3.58150673,105.4927375,90.53161574
2006,1.087659212,1.894125638,-2.8022213,3.86009598,104.6866806,94.49442097
2007,1.011713936,1.092364805,-3.8022213,3.59215164,109.3178527,100.7007739
