year,country,Q,NX_GDP
1980,France,0.987861795,2.873940642
1981,France,1.009875764,2.475871902
1982,France,0.979239242,5.052402785
1983,France,0.983746714,3.16859749
1984,France,0.972452085,1.961287232
1985,France,1.012792434,3.888456747
1986,France,0.992561394,1.925992342
1987,France,0.981730923,3.256708261
1988,France,0.970169681,1.150624188
1989,France,0.980615772,1.764264656
1990,France,0.97248187,3.214668007
1991,France,0.976220993,3.91066418
1992,France,0.894495384,3.310468316
1993,France,0.982225513,2.912412756
1994,France,1.017751404,2.744972257
1995,France,1.048800116,1.443359114
1996,France,1.028861831,2.281790036
1997,France,0.983283382,2.563309272
1998,France,0.964534957,3.832805499
1999,France,0.935602822,3.236586996
2000,France,1.016401449,1.088435618
2001,France,0.981063064,3.276913282
2002,France,0.960317752,2.479289223
2003,France,0.938079077,2.116996506
2004,France,0.926005959,3.488519516
2005,France,0.919510056,3.76767885
2006,France,0.928008097,3.728037811
1980,Ireland,1.037469719,1.670435368
1981,Ireland,1.043810268,1.411914731
1982,Ireland,1.052360231,1.761401103
1983,Ireland,1.060986311,3.221690667
1984,Ireland,1.027632371,2.468269955
1985,Ireland,1.029243122,1.6178124
1986,Ireland,1.006570049,2.54747467
1987,Ireland,1.000513062,2.100999853
1988,Ireland,1.036428158,3.152142772
1989,Ireland,1.043042889,1.514518341
1990,Ireland,1.010218332,1.724786506
1991,Ireland,1.027469639,1.746597034
1992,Ireland,1.010372148,0.589702784
1993,Ireland,1.198597748,2.227364664
1994,Ireland,1.118482327,2.271653427
1995,Ireland,1.321121498,2.112077941
1996,Ireland,0.985384693,1.693693323
1997,Ireland,1.013134533,0.651658916
1998,Ireland,1.225187205,1.206647692
1999,Ireland,1.389760603,1.607445491
2000,Ireland,1.370803941,1.053099428
2001,Ireland,1.458823299,1.634187776
2002,Ireland,1.462379108,2.21730339
2003,Ireland,1.516532961,3.470207698
2004,Ireland,1.547631348,1.914091545
2005,Ireland,1.554907484,2.033444801
2006,Ireland,1.57306356,1.792228874
1980,Mexico,1.054114035,-1.292065062
1981,Mexico,1.089477004,-0.333301177
