year,t,gdp_per_capita
1972,0,9445.944298693028
1973,1,9937.14068293032
1974,2,10870.402167477008
1975,3,11544.490948309607
1976,4,11303.536025366202
1977,5,11098.779710964758
1978,6,11974.139351553053
1979,7,12002.44276145947
1980,8,12201.815227601006
1981,9,13575.413221692064
1982,10,13841.750067194349
1983,11,14510.180971644135
1984,12,14045.0449288012
1985,13,14526.069259662778
1986,14,14693.712044401913
1987,15,14703.04119688246
1988,16,16178.997810134073
1989,17,16004.512109538533
1990,18,17657.68699872827
1991,19,16680.02709515804
1992,20,18311.70372946094
1993,21,18810.433172606845
1994,22,19604.701112802868
1995,23,19736.380493584333
1996,24,20920.437369173604
1997,25,20926.469217329337
1998,26,21307.741184363855
1999,27,22503.61717046789
2000,28,22713.032364092465
2001,29,23426.17770820758
2002,30,24581.10292692821
2003,31,25345.6144702509
2004,32,26089.455244613695
2005,33,26149.41903095242
2006,34,27629.02841614496
2007,35,28344.181266663203
