Country Code,Country Name,gdp_per_capita,hospital_beds_per_1000,physicians_per_1000,diabetes_prevalence,health_expenditure_pct_gdp,life_expectancy,population_65_plus_pct,population
ABW,Aruba,,,,11.6,,76.293,14.0583554376658,106310.0
AFE,Africa Eastern and Southern,1485.3074249316837,,,6.648452482431923,,64.00519747322292,3.1525091184608707,660046272.0
AFG,Afghanistan,507.10339187576284,,,9.2,,64.833,2.61579421390507,38041757.0
AFW,Africa Western and Central,1772.339154840354,,,3.3951200212998676,,58.11572272313237,2.7849504645294303,446911598.0
AGO,Angola,2809.6260883912914,,,4.5,,61.147,2.19934175001363,31825299.0
ALB,Albania,5355.847794590306,,,9.0,,78.573,14.2026306207364,2854191.0
AND,Andorra,40897.330872866914,,,7.7,,,,77146.0
ARB,Arab World,6403.540771746425,,,12.536001328957909,,71.98970936702817,4.657837502195644,427870273.0
ARE,United Arab Emirates,43103.336292986925,,,16.3,,77.972,1.15654945602229,9770526.0
ARG,Argentina,9912.281808598633,,,5.9,,76.667,11.2431082719004,44938712.0
ARM,Armenia,4622.738182088547,,,6.1,,75.087,11.4836677169087,2957728.0
ASM,American Samoa,11534.567544113394,,,,,,,55312.0
ATG,Antigua and Barbuda,17113.34977050881,,,13.1,,77.016,9.05496406433411,97115.0
AUS,Australia,55057.20469606661,,,5.6,,82.9,15.9212017459054,25365745.0
AUT,Austria,50121.5542131186,,,6.6,,81.79268292682929,19.0756062856682,8879920.0
AZE,Azerbaijan,4805.753717659173,,,6.1,,73.005,6.4463891203953,10024283.0
BDI,Burundi,261.24529116164,,,5.1,,61.584,2.31209531524,11530577.0
BEL,Belgium,46414.43523343538,5.58,,4.6,,81.74634146341464,19.0065660669321,11488980.0
BEN,Benin,1219.515478535354,,,1.0,,61.771,3.26488492520772,11801151.0
BFA,Burkina Faso,786.8954376774518,,,7.3,,61.577,2.40728753729201,20321383.0
BGD,Bangladesh,1855.6915096678015,,,9.2,,72.591,5.18035134847486,163046173.0
BGR,Bulgaria,9828.148514781386,,,6.0,,74.91463414634147,21.252967270985,6975761.0
BHR,Bahrain,23443.434828326568,,,15.6,,77.292,2.51880972865733,1641164.0
BHS,"Bahamas, The",34863.38404974762,,,8.8,,73.918,7.48327265444873,389486.0
BIH,Bosnia and Herzegovina,6120.112625793568,,,9.0,,77.401,17.2011511663132,3300998.0
BLR,Belarus,6839.103832924522,,,5.0,,74.2268292682927,15.2008413514816,9417849.0
BLZ,Belize,5078.809944417716,,,17.1,,74.623,4.86738926048986,390351.0
BMU,Bermuda,117098.44632547369,,,6.7,,81.86658536585367,,63913.0
BOL,Bolivia,3552.0681438365323,,,6.8,,71.513,7.33863164569056,11513102.0
BRA,Brazil,8897.487770442916,,,10.4,,75.881,9.25160803606065,211049519.0
BRB,Barbados,18148.497845105412,,,13.4,,79.19,16.2309903318526,287021.0
BRN,Brunei Darussalam,31085.961886082212,,,13.3,,75.86,5.20881175208004,433296.0
BTN,Bhutan,3316.1670221057707,,,10.3,,71.777,6.09297437268377,763094.0
BWA,Botswana,7970.7969680064125,,,5.8,,69.592,4.36589534127101,2303703.0
CAF,Central African Republic,467.9080217519416,,,6.0,,53.283,2.81479015043671,4745179.0
CAN,Canada,46326.67263755716,2.52,,7.6,,82.04878048780488,17.6478968899213,37593384.0
CEB,Central Europe and the Baltics,16307.958200416082,,,6.295943661790735,,77.14410291995176,18.952935784763792,102398537.0
CHE,Switzerland,85334.51946209093,,,5.7,,83.7048780487805,18.8379960576695,8575280.0
CHI,Channel Islands,,,,3.9,,83.086,17.6014025391997,172264.0
CHL,Chile,14741.714403995438,,,8.6,,80.181,11.8815401277688,18952035.0
CHN,China,10216.630334103127,,,9.2,,76.912,11.4721930236832,1397715000.0
CIV,Cote d'Ivoire,2276.332393901797,,,2.4,,57.783,2.87311934294126,25716554.0
CMR,Cameroon,1507.4497981221189,,,6.0,,59.292,2.72364990775371,25876387.0
COD,"Congo, Dem. Rep.",580.7168605167311,,,6.0,,60.681,3.01693961741257,86790568.0
