Country,Period,Year,Crop_Index,Food_Index,Livestock_Index,Agri_ValueAdded_perCapita,Agri_ValueAdded_Growth,Agri_ValueAdded_pctGDP,Agri_Imp_pct,Agri_Exp_pct
Austria,2002-2005,2003.5,98.2625,100.31,100.435,21941.140058767414,0.4132656577544864,1.6309988582771435,2.2978403219834354,2.0044133362175174
Austria,2006-2009,2007.5,101.735,102.2325,102.4025,27123.02497876523,2.0288824605300917,1.4705749344375878,2.1702696882484505,1.7765140672966695
Austria,2010-2013,2011.5,101.9,103.985,104.1325,31675.666897138675,-0.1511625258158098,1.50373114184978,2.2087697639883315,1.6671750073809783
Belgium,2002-2005,2003.5,101.3325,101.97749999999999,103.9975,45783.54367447299,2.8910139207436245,1.089895606184331,1.3058527121948926,1.2256003382771574
Belgium,2006-2009,2007.5,94.655,95.49,96.145,54406.194646660784,0.08677090962868661,0.8793346964899639,1.2382361594333788,1.2734550249587135
Belgium,2010-2013,2011.5,95.545,101.1425,103.4125,60481.657666472136,-0.9498389073470896,0.8099733853842691,1.2614170359444925,1.432421200019352
Bulgaria,2002-2005,2003.5,100.88,99.3775,99.3325,11971.911129924898,-0.41491339502129776,9.915051982202076,1.4093141735702466,2.1299014665237004
Bulgaria,2006-2009,2007.5,90.5625,96.9825,96.45750000000001,13000.051998626303,-1.1700755159353378,6.121584360430922,1.0682230109984534,1.3653007137510527
Bulgaria,2010-2013,2011.5,114.7925,113.1625,91.4825,15205.780252718634,-3.0530469509381923,5.2263004802968425,1.0621703114530594,1.3152605749313957
Croatia,2002-2005,2003.5,105.4675,99.6775,91.86500000000001,14262.48095888735,1.473189661223092,5.507355072327938,1.4569503335860217,3.864499439390004
Croatia,2006-2009,2007.5,103.715,109.0875,106.86999999999999,20603.74311473603,1.8768904421593433,4.9940429668270365,1.0742562275881968,3.439965921926313
Croatia,2010-2013,2011.5,93.8575,100.745,99.66499999999999,22766.256086897127,-6.425981697692659,4.600950266688673,1.0305443029532138,4.100036045427108
