Country,PWT_GDP_2005,WDI_GDP_2005,Diff_abs,Diff_pct
Aruba,27624.77,28812.26,1187.49,4.3
Afghanistan,20271.47,20017.59,-253.88,-1.25
Angola,24525.52,24861.15,335.63,1.37
Anguilla,8013.18,9074.44,1061.26,13.24
Aland Islands,13745.57,13275.89,-469.68,-3.42
Albania,44443.74,50592.85,6149.11,13.84
Andorra,21823.11,24476.91,2653.8,12.16
United Arab Emirates,9539.99,8669.35,-870.64,-9.13
Argentina,12883.9,11219.41,-1664.49,-12.92
Armenia,13409.34,16822.76,3413.42,25.46
American Samoa,23182.98,20362.37,-2820.61,-12.17
Antarctica,17742.1,18716.18,974.08,5.49
French Southern Territories,15841.82,21065.56,5223.74,32.97
Antigua and Barbuda,22069.87,24353.28,2283.41,10.35
Australia,27969.7,23969.52,-4000.18,-14.3
Austria,19350.73,14513.05,-4837.68,-25
Azerbaijan,16525.26,20656.57,4131.31,25
Burundi,17840.94,19861.28,2020.34,11.32
Belgium,26105.74,19579.31,-6526.43,-25
Benin,21945.34,16459.01,-5486.33,-25
"Bonaire, Sint Eustatius and Saba",32326.69,35302.38,2975.69,9.21
Burkina Faso,12395.69,14219.73,1824.04,14.72
Bangladesh,14947.99,14556.13,-391.86,-2.62
Bulgaria,32421.28,31176.48,-1244.8,-3.84
Bahrain,14751.29,19419.08,4667.79,31.64
Bahamas,44002.77,44819.46,816.69,1.86
Bosnia and Herzegovina,44471.45,40983.96,-3487.49,-7.84
Saint Barthélemy,44185.98,46569.97,2383.99,5.4
Belarus,14181.3,15201.97,1020.67,7.2
Belize,22889.82,30773.81,7883.99,34.44
Bermuda,17210.65,21776.79,4566.14,26.53
"Bolivia, Plurinational State of",34946.77,51507.37,16560.6,47.39
Brazil,51704.62,49985.98,-1718.64,-3.32
Barbados,34091.2,29088.36,-5002.84,-14.67
Brunei Darussalam,22127.41,24818.43,2691.02,12.16
Bhutan,18347.17,16097.55,-2249.62,-12.26
Bouvet Island,30471.39,28819.66,-1651.73,-5.42
Botswana,11950.92,13564.52,1613.6,13.5
Central African Republic,28801.08,32694.47,3893.39,13.52
Canada,13941.91,14249.07,307.16,2.2
Cocos (Keeling) Islands,30039.67,31227.77,1188.1,3.96
Switzerland,20323.46,26894.09,6570.63,32.33
Chile,18139.87,25724.69,7584.82,41.81
