iso,pwt70_rgdpch,pwt71_rgdpch,pwt_abs_diff,pwt_rel_diff_pct,wdi_ppp_2005,wdi2011_pwt70_abs_diff,wdi2011_pwt70_rel_diff_pct,wdi2011_pwt71_abs_diff,wdi2011_pwt71_rel_diff_pct
AFG,666.4789761,775.734064,109.25508790000004,16.392878367945272,748.112807893303,81.6338317933031,12.248523167376637,-27.621256106696933,-3.5606604619462647
ALB,5030.436035,4938.805347,-91.63068799999928,-1.8215257556693947,6107.416015799044,1076.979980799044,21.409276915674845,1168.6106687990432,23.66180860942206
DZA,5897.571283,5988.778111,91.2068279999994,1.546515058883764,7168.564543735682,1270.9932607356814,21.551130113498985,1179.786432735682,19.699952325311358
AGO,3108.189699,3055.026874,-53.162824999999884,-1.7104112087207544,3639.6521200751604,531.4624210751604,17.098776861854606,584.6252460751602,19.13650092739447
ATG,14913.52339,15007.77247,94.2490799999996,0.631970578214915,18556.034668506334,3642.511278506334,24.424216754497838,3548.2621985063342,23.64283044401948
ARG,9974.732011,9670.709771,-304.02224000000024,-3.0479238907343937,10833.405609776917,858.6735987769171,8.608487905539551,1162.6958387769173,12.022859400284625
ARM,4541.669893,4452.05631,-89.61358300000029,-1.9731417102357045,4096.440118727322,-445.2297742726778,-9.803217423593532,-355.6161912726775,-7.987684038809418
AUS,38387.13304,38383.84218,-3.2908600000009756,-0.008572820472349023,32719.025007473247,-5668.108032526754,-14.765645630843272,-5664.817172526753,-14.758338016193754
AUT,35631.4556,36150.99452,519.538919999999,1.458090642808314,33626.386832180535,-2005.0687678194663,-5.627243496107597,-2524.6076878194654,-6.983508258459567
AZE,4762.077181,4659.001281,-103.07589999999982,-2.1645155272001424,4496.143936261585,-265.93324473841494,-5.584395939642688,-162.85734473841512,-3.4955419609470404
BHS,27459.95884,32374.2962,4914.337360000001,17.896375550430367,26351.38182622884,-1108.5770137711588,-4.037067281238353,-6022.91437377116,-18.60400095360578
BHR,22381.59809,22013.14226,-368.45582999999897,-1.646244510862803,28068.47167894487,5686.873588944869,25.408702122507236,6055.329418944868,27.5077921517274
BGD,1191.883828,1085.531188,-106.35264000000006,-8.923070982384372,1164.596076589745,-27.28775141025494,-2.2894640206708923,79.06488858974512,7.283520682203111
BRB,23367.30642,28575.04631,5207.739890000001,22.286436427018877,17964.836799994184,-5402.469620005817,-23.119779074672728,-10610.209510005818,-37.13103172222231
BLR,9406.864317,9177.094053,-229.77026399999886,-2.442580824566164,8540.81592056509,-866.0483964349096,-9.206557756656432,-636.2781324349107,-6.9333290991706775
