iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-10-08,155141,0,34.57,7212,0,1.86,3823.2,0,0.85,177.73,0,0.05,0.9,,,,,,,,,,,,,,,,,,,,,,,36635,,,,,891,60035,0.15,35.19,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
OWID_AFR,,Africa,2021-10-08,8425012,0,9873.14,212408,0,344.57,5825.16,0,6.83,146.86,0,0.24,,,,,,,,,,,,,,,,,,,159841805,101108623,63923753,,1261262,1333416,11.2,7.09,4.48,,935,854404,0.06,,,,,,,,,,,,,,,,1426736614,,,,
ALB,Europe,Albania,2021-10-08,170778,0,584,2705,0,12.29,60396.48,0,206.53,956.64,0,4.34,0.89,,,,,,,,,1191296,3500,417.31,1.23,3530,1.24,0.14,7.3,tests performed,1789592,960652,828940,,5608,5784,62.96,33.8,29.16,,2035,1728,0.06,40.74,104.87,38,13.19,8.64,11803.43,1.1,304.2,10.08,7.1,51.2,,2.89,78.57,0.8,2842318,,,,
DZA,Africa,Algeria,2021-10-08,203657,0,154.71,5819,0,7.43,4478.2,0,3.4,127.95,0,0.16,0.79,14,0.31,,,,,,,,,,,,,,,,,,,,,35543,,,,,792,10751,0.02,56.48,17.35,29.1,6.21,3.86,13913.84,0.5,278.36,6.73,0.7,30.4,83.74,1.9,76.88,0.75,44903228,,,,
ASM,Oceania,American Samoa,2021-10-08,1,0,0,0,0,0,20.68,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.2,,,,,,283.75,,,,,,73.74,,44295,,,,
AND,Europe,Andorra,2021-10-08,15222,0,7.86,130,0,0,190938.52,0,98.56,1630.67,0,0,1.27,,,,,,,,,,,,,215,2.72,0.05,21.8,tests performed,,,,,,74,,,,,927,19,0.02,50.17,163.76,,,,,,109.14,7.97,29,37.8,,,83.73,0.87,79843,,,,
AGO,Africa,Angola,2021-10-08,58603,0,544,1574,0,12.43,1644.53,0,15.27,44.17,0,0.35,0.86,,,,,,,,,,,,,,,,,,4074677,2863708,1210969,,,78378,11.45,8.05,3.4,,2202,61359,0.17,62.5,23.89,16.8,2.4,1.36,5819.5,,276.04,3.94,,,26.66,,61.15,0.58,35588996,,,,
AIA,North America,Anguilla,2021-10-08,425,0,8.71,1,0,0,29925.36,0,613.6,70.41,0,0,,,,,,,,,,,,,,169,10.73,0.1,9.9,tests performed,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,81.88,,15877,,,,
ATG,North America,Antigua and Barbuda,2021-10-08,3403,0,71.57,84,0,2.86,36650.12,0,770.82,904.68,0,30.77,0.93,,,,,,,,,,,,,,,,,,,,,,,436,,,,,4650,230,0.24,,231.84,32.1,6.93,4.63,21490.94,,191.51,13.17,,,,3.8,77.02,0.78,93772,,,,
ARG,South America,Argentina,2021-10-08,5327758,0,1321.43,116521,0,12.43,117331.07,0,29.1,2566.09,0,0.27,0.71,981,21.56,,,,,,,24464114,26440,540.32,0.58,39581,0.87,0.02,55.6,tests performed,54833967,30610073,21876228,2925,121459,202797,120.49,67.26,48.07,0.01,4456,58283,0.13,40.81,16.18,31.9,11.2,7.44,18933.91,0.6,191.03,5.5,16.2,27.7,,5,76.67,0.84,45510324,,,,
